code,term
286763000,Modest character (finding)
286764006,Humble character (finding)
286765007,Excessively proud character (finding)
286766008,Arrogant character (finding)
704374004,Lack of pride (finding)
286767004,Character trait finding of effort at work (finding)
286768009,Hard working character (finding)
286769001,Tends not to work hard (finding)
286770000,Average worker - character trait (finding)
286771001,Character trait finding of conscientiousness (finding)
286772008,Conscientious character (finding)
286773003,Tends to lack conscientiousness (finding)
286774009,Character trait finding of decisiveness (finding)
286775005,Decisive character (finding)
286776006,Indecisive character (finding)
286777002,Character trait finding of level of curiosity (finding)
286778007,Curious character (finding)
286779004,Tends to lack curiosity (finding)
286781002,Character trait finding of level of suggestibility (finding)
286782009,Highly suggestible (finding)
286783004,Moderately suggestible (finding)
286784005,Low level of suggestibility (finding)
32806003,Disturbance in suggestibility (finding)
63395003,Folie à trois (finding)
70503004,Hypnotic state (finding)
286785006,Character trait finding of level of assertiveness (finding)
286787003,Overly assertive character (finding)
286788008,Normal level of assertiveness - character trait (finding)
286796003,Unassertive character (finding)
286786007,Character trait finding of anger control (finding)
286789000,Consistent appropriate expression of anger (finding)
286791008,Tends to allow anger to build up (finding)
286795004,Tends to turn anger against self (finding)
40680004,Explosive character (finding)
286797007,Character trait finding of level of hostility (finding)
286798002,Aggressive character (finding)
286800009,Placid character (finding)
39077006,Passive aggressive character (finding)
286801008,Character trait finding of flexibility (finding)
286804000,Flexible character (finding)
286805004,Perfectionistic character (finding)
69193009,Rigid character (finding)
286806003,Stubborn character (finding)
286815005,Character trait finding of orderliness (finding)
286816006,Tends to be preoccupied with order (finding)
286818007,Pedantic character (finding)
286817002,Tends to be disorganized (finding)
286819004,Character trait finding of self-sufficiency (finding)
286820005,Tends to be excessively self-sufficient (finding)
286821009,Tends to be excessively psychologically independent (finding)
36389000,Passive character (finding)
286823007,Character trait finding of sadistic tendency (finding)
286824001,Tends to restrict autonomy of others (finding)
286825000,Tends to humiliate others (finding)
286826004,Tends to take pleasure in the suffering of others (finding)
286830001,Exaggeration of normal character trait (finding)
286836007,Eccentric character (finding)
286837003,Grandiose character (finding)
286839000,Character trait finding of ability to learn from adverse experience (finding)
286840003,Irresponsible character (finding)
286841004,Careless character (finding)
286842006,Reckless character (finding)
286843001,Self-referential character (finding)
286844007,Litigious character (finding)
286845008,Tends to be critical of others (finding)
286846009,Tends to be sensitive to criticism (finding)
300944002,Vulnerable personality (finding)
309711009,Manipulative personality (finding)
18117002,Paranoid character (finding)
19418005,Psychopathic personality trait (finding)
24209009,Masochistic personality trait (finding)
37273005,Lifelong depressive personality trait (finding)
37335008,Unclassified personality trait (finding)
38924009,Histrionic character (finding)
286827008,Tends to exaggerate emotional expression inappropriately (finding)
39833003,Dissocial character (finding)
286831002,Tends to lie repeatedly without reason (finding)
286833004,Tends to fail to learn from adverse experience (finding)
286834005,Tends to blame others (finding)
286835006,Tends to manipulate others (finding)
286838008,Tends to bear grudges (finding)
52594007,Personality trait causing social impairment (finding)
65797007,Labile personality trait (finding)
69016002,Personality trait typical of long term functioning (finding)
70630002,Schizoid character (finding)
286829006,Tends to appear indifferent to praise or criticism (finding)
7267002,Narcissistic character (finding)
76369008,Maladaptive personality trait (finding)
76804006,Personality trait causing subjective distress (finding)
83553004,Personality trait causing occupational functioning impairment (finding)
83781008,Immature personality (finding)
85660004,Multiple personality traits (finding)
90434008,Dual personality traits (finding)
162328000,Conscientious (finding)
365398001,Finding of level of egocentricity (finding)
286748003,High level of egocentricity (finding)
286749006,Moderate level of egocentricity (finding)
286750006,Low level of egocentricity (finding)
286751005,Generous character (finding)
286752003,Altruistic character (finding)
365409001,Finding of level of extraversion (finding)
224952000,Introvert (finding)
224954004,Extrovert (finding)
224953005,Cheerful personality (finding)
365420001,Finding of level of neuroticism (finding)
286696007,High level of neuroticism (finding)
286697003,Moderate level of neuroticism (finding)
286698008,Low level of neuroticism (finding)
365431009,Finding of level of psychoticism (finding)
286700004,High level of psychoticism (finding)
286701000,Moderate level of psychoticism (finding)
286702007,Low level of psychoticism (finding)
445179000,Excessive selfcriticism (finding)
224993008,Psychodynamic finding (finding)
224979001,Unconscious fantasy (finding)
224980003,Countertransference (finding)
224982006,Transference (finding)
224981004,Environmental transference (finding)
304852009,Positive transference (finding)
304853004,Negative transference (finding)
304854005,Delusional transference (finding)
304855006,Eroticized transference (finding)
304856007,Self-object transference (finding)
304857003,Idealizing transference (finding)
281770004,Ego strength finding (finding)
281771000,High ego strength (finding)
281772007,Moderate ego strength (finding)
281773002,Low ego strength (finding)
304866004,Psychodynamic attachment finding (finding)
304867008,Secure attachment (finding)
304868003,Insecure attachment (finding)
304870007,Insecure avoidant attachment (finding)
304871006,Anxious avoidant attachment (finding)
304872004,Mixed avoidant attachment (finding)
304873009,Chaotic attachment (finding)
304869006,Attachment avoidant (finding)
304874003,Enmeshed attachment (finding)
304875002,Autonomous attachment (finding)
304876001,Dependent attachment (finding)
304877005,Dominant attachment (finding)
304878000,Submissive attachment (finding)
304895008,Psychodynamic complexes (finding)
304896009,Castration anxiety complex (finding)
79210003,Electra complex (finding)
82814008,Oedipus complex (finding)
365927009,Mental defense mechanism finding (finding)
78222005,Denial - mental defense mechanism (finding)
286682001,Psychotic denial - mental defense mechanism (finding)
130967001,Ineffective denial (finding)
286662000,Acting out - mental defense mechanism (finding)
286663005,Altruism - mental defense mechanism (finding)
286664004,Anticipation - mental defense mechanism (finding)
286665003,Conversion - mental defense mechanism (finding)
286667006,Devaluation - mental defense mechanism (finding)
286668001,Displacement - mental defense mechanism (finding)
286669009,Dissociation - mental defense mechanism (finding)
286670005,Humor - mental defense mechanism (finding)
286671009,Idealization - mental defense mechanism (finding)
286681008,Primitive idealization - mental defense mechanism (finding)
286672002,Identification - mental defense mechanism (finding)
286673007,Identification with the aggressor - mental defense mechanism (finding)
286674001,Intellectualization - mental defense mechanism (finding)
286675000,Introjection - mental defense mechanism (finding)
286676004,Isolation - mental defense mechanism (finding)
286677008,Manic - mental defense mechanism (finding)
286678003,Omnipotence - mental defense mechanism (finding)
286679006,Passive aggression - mental defense mechanism (finding)
286680009,Phobic avoidance - mental defense mechanism (finding)
286683006,Rationalization - mental defense mechanism (finding)
286684000,Reaction-formation - mental defense mechanism (finding)
286685004,Reversal - mental defense mechanism (finding)
286686003,Schizoid fantasy - mental defense mechanism (finding)
286687007,Suppression - mental defense mechanism (finding)
286688002,Splitting - mental defense mechanism (finding)
286689005,Turning against the self - mental defense mechanism (finding)
286691002,Undoing - mental defense mechanism (finding)
48386003,Regression - mental defense mechanism (finding)
224983001,Regression through actualizing (finding)
224984007,Regression through acting in (finding)
224985008,Regression through acting out (finding)
224986009,Regression through recapitulation (finding)
224987000,Regression through enacting (finding)
6349000,Projection - mental defense mechanism (finding)
286666002,Delusional projection - mental defense mechanism (finding)
64750001,Sublimation - mental defense mechanism (finding)
87305000,Repression - mental defense mechanism (finding)
224988005,Repressing thoughts (finding)
224989002,Repressing painful memories (finding)
224990006,Repression through denial (finding)
224991005,Repression through forgetting (finding)
110350008,Psychogenic factor (finding)
247699008,Psychological finding of perception (finding)
106134006,Perception AND/OR perception disturbance (finding)
225453006,False perception (finding)
7011001,Hallucinations (finding)
247740003,Hallucinations in several modalities at once (finding)
247743001,Sexual hallucinations (finding)
247744007,Dissociative hallucinations (finding)
247745008,Dissociative auditory hallucinations (finding)
247746009,Dissociative visual hallucinations (finding)
247747000,Dissociative olfactory hallucinations (finding)
247748005,Dissociative hallucinations of bodily sensation (finding)
247749002,Dissociative tactile hallucinations (finding)
247742006,Hallucinations associated with bereavement (finding)
285799000,Reflex hallucinations (finding)
307504004,Oneirophrenia (finding)
18966001,Autoscopic hallucination (finding)
19865006,Functional hallucinations (finding)
26433004,Mood-congruent hallucination (finding)
29139005,Gustatory hallucinations (finding)
38190007,Extracampine hallucinations (finding)
39672001,Olfactory hallucinations (finding)
247736007,Hallucination of self giving off a smell (finding)
247737003,Hallucination of others giving off a smell (finding)
45150006,Auditory hallucinations (finding)
247730001,Verbal auditory hallucinations (finding)
247644004,Thought echo (finding)
277529000,Second person verbal auditory hallucinations (finding)
78595002,Command hallucination (finding)
277533007,Third person verbal auditory hallucinations (finding)
285742008,Hears voices laughing at self (finding)
307079000,Hears mocking voices (finding)
247731002,Non-verbal auditory hallucinations (finding)
247732009,Hallucinations of music (finding)
285743003,Hallucinations of simple sounds (finding)
5152006,Illusions (finding)
42996007,Illusion of intermetamorphosis (finding)
57095008,Pseudohallucinations (finding)
57553009,Mood-incongruent hallucination (finding)
61199005,Elementary hallucination (finding)
64269007,Visual hallucinations (finding)
247733004,Unformed visual hallucinations (finding)
247734005,Formed visual hallucinations (finding)
247735006,Scenic visual hallucinations (finding)
285744009,Formed hallucinations of people (finding)
285745005,Formed hallucinations of animals (finding)
285746006,Formed hallucinations of insects (finding)
285747002,Formed hallucinations of objects (finding)
416943009,Complaining of illusions seen (finding)
66609003,Tactile hallucinations (finding)
15037002,Formication (finding)
403600002,Formication of skin (finding)
70720002,Trailing phenomenon (finding)
73917004,Hallucinosis (finding)
82116008,Hallucinatory neuralgia (finding)
8488006,Synesthesia (finding)
85550003,Hallucinations of bodily sensation (finding)
247738008,Hallucinations of pain (finding)
247739000,Hallucinations of temperature (finding)
416571005,Transient hallucinations (finding)
417633001,Alcohol induced hallucinations (finding)
445112001,Sleep related hallucinations (finding)
44780000,Hypnagogic hallucinations (finding)
69690008,Hypnapompic hallucinations (finding)
247702001,Bad trips (finding)
247703006,Lysergic acid diethylamide reaction (finding)
225454000,Sensory distortion (finding)
246650003,Finding of movement of visual image (finding)
247705004,Perception of things changing shape (finding)
247708002,Hypoesthesia of special senses (finding)
247709005,Perception that things appear colorless (finding)
247710000,Perception that things appear gray (finding)
247711001,Perception that things appear flat (finding)
247712008,Heightened perception (finding)
247721009,Heightened tactile perception (finding)
289174003,Hyperesthesia of special senses (finding)
247713003,Heightened auditory perception (finding)
247714009,Sounds seem unnaturally clear (finding)
247716006,Heightened visual perception (finding)
247717002,Things appear vividly colored (finding)
247718007,Patterns appear intricately detailed (finding)
247719004,Patterns appear interesting (finding)
247720005,Heightened olfactory perception (finding)
247722002,Heightened perception of taste (finding)
247723007,Changed perception of time (finding)
247724001,Time seems to go very slowly (finding)
247725000,Time seems to go unnaturally fast (finding)
247700009,Normal perception (finding)
26112003,Psychosomatic factor in physical condition (finding)
17491008,"Psychosomatic factor in physical condition, minor psychological component (finding)"
2301009,"Psychosomatic factor in physical condition, psychological component of unknown degree (finding)"
37057007,Psychophysiologic disorder (finding)
191948007,Psychosomatic musculoskeletal symptoms (finding)
191954008,Psychogenic cough (finding)
191955009,Psychogenic hiccough (finding)
191956005,Psychogenic hyperventilation (finding)
191975000,Psychogenic genitourinary tract symptoms (finding)
191977008,Psychogenic dysmenorrhea (finding)
191978003,Psychogenic dysuria (finding)
405788002,Psychogenic loss of appetite (finding)
66551002,Psychogenic headache (finding)
236667007,Psychogenic urinary incontinence (finding)
7956006,Psychogenic vertigo (finding)
442099003,Psychogenic fatigue (finding)
442183006,Psychogenic dyskinesia (finding)
153261000119109,Psychogenic inhibited male orgasm (finding)
45505004,"Psychosomatic factor in physical condition, marked psychological component (finding)"
36480000,Disturbance of perception associated with conversion and dissociative phenomenon (finding)
102940002,Schizophrenic reaction (finding)
13127006,Factitious psychosis (finding)
16039007,Hysterical amnesia (finding)
27816006,Hysterical trance (finding)
39638009,Perception hysteria (finding)
40806005,Derealization (finding)
247728003,Objects seem unreal (finding)
247729006,People seem to be actors in a film (finding)
51491004,Role playing (finding)
79499004,Depersonalization (finding)
247726004,Feels own body is unreal (finding)
247727008,Own reflection in mirror seems unreal (finding)
307050007,Out of body experience (finding)
80490004,Fugue (finding)
8971008,Psychalgia (finding)
307199009,Psychosomatic abdominal pain (finding)
51470007,Extrasensory perception (finding)
130985008,Disturbed sensory perception (finding)
112105008,Sense of smell altered (finding)
247320008,Things smell different (finding)
247321007,Unusual smell in nose (finding)
44525005,Abnormal unpleasant perception of strong scent (finding)
32422007,Hemi-neglect (finding)
129860001,Kinesthetic alteration (finding)
130984007,Tactile alteration (finding)
131182003,Visual alteration (finding)
425403003,Limited sensory perception (finding)
288041000119101,Perceptual disturbance due to alcohol withdrawal (finding)
112090005,Eidetic images (finding)
271723009,Sensory agnosia (finding)
281110002,Somatosensory agnosia (finding)
285761007,Agnosia for pain (finding)
285762000,Agnosia for temperature (finding)
25094008,Tactile agnosia (finding)
285757001,Visual agnosia for objects (finding)
285758006,Visuospatial agnosia (finding)
43659006,Auditory agnosia (finding)
229749000,Congenital auditory agnosia (finding)
57948007,Agnosia for taste (finding)
8480004,Agnosia for smell (finding)
86819001,Time agnosia (finding)
271892003,Hysterical simulation of disease (finding)
272745007,Simulation of physical illness (finding)
281111003,Organic disorder of body schema (finding)
285760008,Position agnosia (finding)
1943009,Right-left disorientation (finding)
20930002,Anosognosia (finding)
24500009,Autotopagnosia (finding)
3449007,Finger agnosia (finding)
63437008,Anosodiaphoria (finding)
285770005,Finding of perceptual performance (finding)
225431009,Finding related to recognition (finding)
365518001,Finding related to ability to recognize objects (finding)
285156004,Able to recognize objects (finding)
285159006,Able to recognize objects by touch (finding)
285163004,Able to recognize objects by sight (finding)
285157008,Unable to recognize objects (finding)
285164005,Unable to recognize objects by sight (finding)
285161002,Unable to recognize objects by touch (finding)
365529002,Finding related to ability to recognize objects by touch (finding)
365540005,Finding related to ability to recognize objects by sight (finding)
365551005,Finding related to ability to recognize sounds (finding)
285173002,Able to recognize sounds (finding)
285182008,Able to recognize warning sounds (finding)
285174008,Unable to recognize sounds (finding)
285183003,Unable to recognize warning sounds (finding)
365562005,Finding related to ability to recognize warning sounds (finding)
365572008,Finding related to ability to recognize odors (finding)
285185005,Able to recognize odors (finding)
285186006,Unable to recognize odors (finding)
365583004,Finding related to ability to recognize surroundings (finding)
285176005,Able to recognize surroundings (finding)
285177001,Unable to recognize surroundings (finding)
365594000,Finding related to ability to recognize other persons (finding)
225666004,Mistakes people's identity (finding)
365606002,Finding related to ability to recognize faces (finding)
285170004,Able to recognize faces (finding)
285168008,Able to recognize faces by sight (finding)
285171000,Unable to recognize faces (finding)
285169000,Unable to recognize faces by sight (finding)
365617001,Finding related to ability to recognize faces by sight (finding)
365628002,Finding related to ability to recognize familiar people (finding)
285773007,Able to recognize familiar people (finding)
285774001,Unable to recognize familiar people (finding)
365639004,Finding related to ability to recognize self (finding)
225434001,Does not recognize self (finding)
225435000,Does not recognize self in mirror (finding)
225664001,Does not recognize photographs of self (finding)
225665000,Recognizes self (finding)
365650001,Finding related to ability to recognize parts of own body (finding)
285779006,Able to recognize parts of own body (finding)
285790001,Able to recognize own fingers (finding)
285780009,Unable to recognize parts of own body (finding)
285791002,Unable to recognize own fingers (finding)
90406001,Amorphosynthesis (finding)
365661009,Finding related to ability to recognize own fingers (finding)
716439008,Able to recognize own emotional pain and distress (finding)
716440005,Able to recognize pain in body part (finding)
365387002,Finding related to ability to find way around a familiar environment (finding)
285796007,Able to find way around a familiar environment (finding)
285797003,Unable to find way around a familiar environment (finding)
21001001,Déjà pensé (finding)
28249008,Jamais vu (finding)
313005,Déjà vu (finding)
49229003,Déjà entendu (finding)
247701008,Abnormal perception (finding)
247704000,Changed perception of things (finding)
247707007,Changed perception of people (finding)
706876006,Suspicion (finding)
271721006,Symbolic dysfunction (finding)
112077003,Spatial disorientation (finding)
163928003,On examination - symbolic dysfunction (finding)
273760003,"Physical condition, moderate psychological component (finding)"
274675006,"Psychosomatic factor in physical condition, moderate psychological component (finding)"
276289005,Isolated skills associated with general impairment (finding)
276290001,Isolated musical skills (finding)
276291002,Isolated number skills (finding)
276292009,Isolated visuospatial skills (finding)
276293004,Isolated calendar skills (finding)
276294005,Isolated memory skills (finding)
276295006,Isolated artistic skills (finding)
279314007,Somatic syndrome finding (finding)
280429009,Somatic syndrome present (finding)
280430004,Somatic syndrome absent (finding)
279315008,Psychotic symptom finding (finding)
280427006,Psychotic symptom present (finding)
280428001,Psychotic symptoms absent (finding)
307083000,Able to process information (finding)
311538008,Able to process information accurately (finding)
311541004,Able to process information at normal speed (finding)
307088009,Unable to analyze information (finding)
307089001,Difficulty analyzing information (finding)
311470005,Finding related to orientation (finding)
247663003,Orientated (finding)
427645006,Oriented to person (finding)
427161009,Oriented to place (finding)
426224004,"Oriented to person, time and place (finding)"
426794005,Oriented to time (finding)
62476001,Disorientated (finding)
19657006,Disorientated in time (finding)
39538002,"Disorientation as to people, time and place (finding)"
62766000,Disorientation for person (finding)
66797003,Disorientation as to self (finding)
72440003,Disorientated in place (finding)
247664009,Getting lost (finding)
247665005,Getting lost inside the home (finding)
130964008,Impaired environmental interpretation syndrome (finding)
163608000,On examination - disorientated (finding)
311539000,Unable to process information accurately (finding)
311540003,Difficulty processing information accurately (finding)
311542006,Unable to process information at normal speed (finding)
311543001,Difficulty processing information at normal speed (finding)
365441007,Finding of mental state: drive (finding)
106121005,Motivation finding (finding)
112076007,Extrinsic motivation (finding)
26413003,Low motivation (finding)
277521002,Loss of motivation (finding)
31614008,Personal motivation (finding)
47914002,Abnormal motivation (finding)
64423005,Normal motivation (finding)
86808004,Increased motivation (finding)
89598003,Absence of motivation (finding)
110476007,Motivated to preserve dentition (finding)
365452001,Finding of sense of purpose (finding)
225472006,Feels life is meaningless (finding)
225473001,Feels everything is futile (finding)
247757004,Purposeless (finding)
365462008,Finding of level of interest (finding)
225468007,Resigned tolerance (finding)
225469004,Interested (finding)
225470003,Unenthusiastic (finding)
225471004,Enthusiastic (finding)
247753000,Loss of interest (finding)
417523004,Loss of interest in previously enjoyable activity (finding)
247755007,Withdrawn (finding)
134418002,Level of interest - normal (finding)
713566001,Lack of interest (finding)
365473001,Finding of volition (finding)
225465005,Unwilling (finding)
225466006,Willing (finding)
365484008,Finding of attitude (finding)
225462008,Negative attitude (finding)
225463003,Positive attitude (finding)
704340003,Conflicting attitude towards treatment (finding)
704341004,Conflicting attitude towards medication management (finding)
704342006,Conflicting attitude towards exercise (finding)
704343001,Conflicting attitude towards dietary regime (finding)
704344007,Conflicting attitude towards care (finding)
714669006,Impaired attitude to nutritional status (finding)
365496001,Finding of initiative (finding)
247758009,Will not try (finding)
276306002,Loss of initiative (finding)
365507001,Finding of self-control (finding)
284475009,Maintains self-control (finding)
705000008,Low self-control (finding)
415241007,Readiness finding (finding)
427160005,Ready for enhanced communication (finding)
426798008,Ready for enhanced family processes (finding)
427362008,Ready for enhanced management of therapeutic regimen (finding)
427243007,Ready for enhanced religiosity (finding)
426282002,Ready for enhanced self-concept (finding)
426502000,Ready for enhanced knowledge (finding)
426116001,Ready for enhanced nutrition (finding)
426839005,Ready for enhanced hope (finding)
426049007,Ready for enhanced community coping (finding)
425818007,Ready for enhanced comfort (finding)
425886001,Ready for enhanced self-care (finding)
426533003,Ready for enhanced spiritual well-being (finding)
425653002,Ready for enhanced urinary elimination (finding)
427448000,Ready for enhanced sleep pattern (finding)
425959000,Ready for enhanced family coping (finding)
425726009,Ready for enhanced individual coping (finding)
426251001,Ready for enhanced parenting (finding)
426770005,Ready for positive enhanced fluid balance (finding)
427305007,Ready for enhanced decision making (finding)
425507004,Ready for enhanced immunization status (finding)
425515001,Ready for enhanced power (finding)
365928004,General mental state finding (finding)
267072000,Inadequate personality (finding)
413307004,Mental health problem (finding)
427867005,Cooperative mental state (finding)
365929007,Consciousness and/or awareness finding (finding)
106167005,Consciousness related finding (finding)
248218005,Awake (finding)
11764003,Postconcussion state (finding)
83779006,Palinesthesia (finding)
86652009,Cerebral irresponsivity (finding)
88962006,Incomplete clearmindedness (finding)
365931003,Finding of level of consciousness (finding)
271591004,Fully conscious (finding)
162701007,On examination - fully conscious (finding)
3006004,Disturbance of consciousness (finding)
248223005,Feeling faint (finding)
248226002,Being out of body (finding)
248227006,Absences (finding)
248228001,Funny turn (finding)
271782001,Drowsy (finding)
313432002,Post-ictal drowsiness (finding)
315243006,Intermittent drowsiness (finding)
267088000,Gets drowsiness (finding)
372947007,Excessive somnolence (finding)
162704004,On examination - drowsy (finding)
272026007,Complaining of somnolence (finding)
141000119100,Daytime somnolence (finding)
271783006,Semiconscious (finding)
162705003,On examination - semiconscious (finding)
285741001,Vacant episode (finding)
31804002,Grayout (finding)
34951003,Drugged state (finding)
40917007,Clouded consciousness (finding)
281793005,Intermittent confusion (finding)
19129003,Seems in a dream (finding)
89458003,Stupor (finding)
130987000,Acute confusion (finding)
130988005,Chronic confusion (finding)
248225003,Seems in a trance (finding)
416865008,On examination - clouded consciousness (finding)
248224004,Muzzy headed (finding)
703464007,Wooziness (finding)
703453009,Complaining of wooziness (finding)
90172009,Narcosis (finding)
386705008,Lightheadedness (finding)
81879005,Whiteout (finding)
419567006,Delirious (finding)
162703005,On examination - delirious (finding)
17971005,Sedated (finding)
418107008,Unconscious (finding)
268913004,On examination - unconscious/comatose (finding)
443371007,Decreased level of consciousness (finding)
419045004,Loss of consciousness (finding)
32834005,Brief loss of consciousness (finding)
40863000,Moderate duration loss of consciousness (finding)
7862002,Prolonged loss of consciousness (finding)
275946007,On examination - loss of consciousness (finding)
248221007,Consciousness clear (finding)
248222000,Consciousness unimpaired (finding)
162700008,On examination - level of consciousness (finding)
162707006,On examination - conscious level fluctuating (finding)
417473004,On examination - decreased level of consciousness (finding)
365930002,Wakefulness finding (finding)
248220008,Asleep (finding)
365933000,Finding of mental alertness (finding)
248234008,Mentally alert (finding)
406124004,Lack of awareness (finding)
409083006,Finding related to attentiveness (finding)
247763008,Excessively focused attention (finding)
247765001,Pays fleeting attention (finding)
247766000,Pays attention to own choice of activity (finding)
247767009,Integrated attention for short spells (finding)
247768004,Attends to adults' choice of activity (finding)
247769007,Well controlled integrated attention (finding)
76039005,Disturbance of attention (finding)
247761005,Reduced concentration (finding)
247762003,Reduced concentration span (finding)
22058002,Inattention (finding)
25124003,Selective inattention (finding)
26329005,Poor concentration (finding)
28102002,Distractibility (finding)
247764002,Easily distracted (finding)
163616009,On examination - easily distractable (finding)
46991000,Absent minded (finding)
248235009,Preoccupied (finding)
60032008,Unable to concentrate (finding)
86713007,Nonpersistence (finding)
130965009,Persistence (finding)
425248002,Scattered attention (finding)
142261000119100,Cognitive deficit in attention (finding)
365080005,Finding related to ability to direct attention (finding)
288769005,Able to direct attention (finding)
288770006,Unable to direct attention (finding)
288771005,Does direct attention (finding)
288772003,Does not direct attention (finding)
288773008,Difficulty directing attention (finding)
716443007,Able to shift attention (finding)
716452003,Able to sustain attention (finding)
716403002,Able to divide attention (finding)
248236005,Mentally vague (finding)
419723007,Mentally dull (finding)
422768004,Unresponsive (finding)
704426000,Impairment of mental alertness (finding)
225440008,Onset of confusion (finding)
225662002,Able to think clearly (finding)
225439006,Not confused (finding)
247622009,Sharpened thinking (finding)
247647006,Maintained direction of thought (finding)
285241002,Lucid (finding)
285245006,Arbitrary inference (finding)
285247003,Catastrophization (finding)
285251001,Able to resist dangerous thoughts (finding)
285253003,Able to resist dangerous thoughts with ease (finding)
285254009,Able to resist dangerous thoughts with difficulty (finding)
285256006,Able to think independently (finding)
285260009,Able to resist obsessional thoughts (finding)
302760000,Fast flow of thought (finding)
285303006,Racing thoughts (finding)
28810003,Flight of ideas (finding)
304656009,Unable to use visuospatial reasoning (finding)
304657000,Difficulty using visuospatial reasoning (finding)
304661006,Unable to use arithmetic reasoning (finding)
304662004,Difficulty using arithmetic reasoning (finding)
304665002,Unable to use verbal reasoning (finding)
304666001,Difficulty using verbal reasoning (finding)
406557007,Prefers to co-operate with one point of contact (finding)
281136009,Able to think abstractly (finding)
419284004,Altered mental status (finding)
228150001,Mental health impairment (finding)
433082007,Transient altered mental status (finding)
162715009,On examination - mental state (finding)
162716005,On examination - state of mind normal (finding)
162725004,On examination - irritable (finding)
163615008,On examination - perplexed (finding)
416611006,On examination - paranoid delusions (finding)
416890005,On examination - delusion of persecution (finding)
416445008,On examination - level of awareness (finding)
417014005,On examination - vigilance (finding)
417007008,On examination - hypervigilance (finding)
275973008,On examination - senility - no psychosis (finding)
12479006,Compulsive behavior (finding)
247963001,Compulsive checking (finding)
247964007,Compulsive repeating (finding)
247965008,Compulsive washing (finding)
247966009,Compulsive handwashing (finding)
247967000,Compulsive cleaning (finding)
247968005,Compulsive hoarding (finding)
247969002,Compulsive counting (finding)
247970001,Compulsive tidying (finding)
247971002,Compulsive arrangement of objects (finding)
247972009,Inability to resist compulsive behaviors (finding)
284525009,Compulsive touching (finding)
2541004,Compulsive buying (finding)
67431008,Compulsion expressed as ritual (finding)
78990003,Compulsive purposeless behavior (finding)
371078007,Compulsive eating pattern (finding)
416661002,Compulsive drug taking (finding)
416993008,Compulsive uncontrollable drug taking (finding)
130972005,Abnormal compulsive behavior (finding)
14512007,Palingraphia (finding)
14883001,Nymphomania (finding)
4070001,Palinphrasia (finding)
43359000,Ecdysiasm (finding)
66658004,Satyriasis (finding)
231511005,Compulsive water drinking (finding)
32709003,Addiction (finding)
41784005,Physical addiction (finding)
85758008,Psychological addiction (finding)
274647009,Restlessness and agitation (finding)
73595000,Stress (finding)
102497008,Symptoms of stress (finding)
55539008,Physical stress (finding)
224974006,Feeling stressed (finding)
23085004,Increased stress (finding)
424582000,Stress overload (finding)
79365001,Decreased stress (finding)
422761005,Difficulty managing stress (finding)
442347009,Emotional stress (finding)
166491000119100,Stress due to family tension (finding)
609585002,Sundowning (finding)
716421004,Able to manage stress (finding)
373930000,Cognitive function finding (finding)
106136008,Memory finding (finding)
102941003,Alethia (finding)
225036005,Distortion of memory (finding)
17842005,Confabulation (finding)
276244009,Delusional memories (finding)
283880001,Momentary confabulation (finding)
283881002,Fantastical confabulation (finding)
225443005,Recovery of memory (finding)
247602005,Memory function normal (finding)
247605007,Sharpened memory for remote events (finding)
283882009,Finding of memory performance (finding)
225033002,Memory recall finding (finding)
283883004,Finding relating to immediate recall (finding)
365848007,Finding of digit span performance (finding)
311407009,Digit span forwards (finding)
311476004,Digit span reverse (finding)
283902008,Has delayed recall (finding)
423698005,Limited recall of recent event (finding)
422713003,Limited recall of long past event (finding)
225042009,Finding relating to reminiscing (finding)
225041002,Talks about the past (finding)
247618004,Memory assessment finding (finding)
365906004,Finding of memory for own age (finding)
165280004,Memory: own age not known (finding)
165281000,Memory: own age known (finding)
365907008,Finding of memory for present time (finding)
165283002,Memory: present time not known (finding)
165284008,Memory: present time known (finding)
365908003,Finding of memory for present place (finding)
165286005,Memory: present place not known (finding)
165287001,Memory: present place known (finding)
365909006,Finding of memory for present year (finding)
165289003,Memory: present year not known (finding)
165290007,Memory: present year known (finding)
365911002,Finding of memory for own date of birth (finding)
165293009,Memory: own date of birth known (finding)
365912009,Finding of memory for present month (finding)
165295002,Memory: present month not knwn (finding)
165296001,Memory: present month known (finding)
365913004,Finding of memory for important event (finding)
165298000,Memory: important event not kn (finding)
165299008,Memory: important event known (finding)
365914005,Finding of memory for important person (finding)
165301001,Memory: important person not known (finding)
165302008,Memory: important person known (finding)
365915006,Finding of memory for counting down (finding)
165304009,Memory: count down successful (finding)
165305005,Memory: count down unsuccessful (finding)
365916007,Finding of memory for address recall (finding)
165307002,Memory: address recall success (finding)
165308007,Memory: address recall unsuccessful (finding)
365859003,Finding of short-term memory performance (finding)
247590001,Short-term memory within normal limits (finding)
247592009,Poor short-term memory (finding)
247593004,Forgets what was going to do (finding)
247594005,Forgets what was going to say (finding)
247595006,Forgets recent activities (finding)
247596007,Forgets what has just done (finding)
247597003,Forgets what has just said (finding)
247598008,Forgets what has just read (finding)
247599000,Forgets what has just seen (finding)
247600002,Forgets what has just heard (finding)
423864004,Forgets to complete personal care (finding)
33254005,Uncompensated short term memory deficit (finding)
365869009,Finding of verbal short-term memory performance (finding)
365875000,Finding related to ability to recall random address at five minutes (finding)
