,code,term
528,47664006,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with hallucinations (disorder)"
529,32009006,Hallucinogen hallucinosis (disorder)
530,7052005,Alcohol hallucinosis (disorder)
531,58329000,Organic mood disorder of manic type (disorder)
532,83501007,Organic mood disorder of mixed type (disorder)
533,88845000,Explosive type organic personality disorder (disorder)
534,231457005,Organic psychosyndrome (disorder)
535,231442003,Organic catatonic disorder (disorder)
536,231449007,Epileptic psychosis (disorder)
537,278852008,Paranoid-hallucinatory epileptic psychosis (disorder)
538,23645006,Organic mood disorder (disorder)
539,231443008,Right hemispheric organic affective disorder (disorder)
540,231444002,Organic bipolar disorder (disorder)
541,231446000,Organic emotionally labile disorder (disorder)
542,37331004,Psychoactive substance-induced organic mood disorder (disorder)
543,1383008,Hallucinogen mood disorder (disorder)
544,4863002,Phencyclidine mood disorder (disorder)
545,10327003,Cocaine-induced mood disorder (disorder)
546,28864000,"Sedative, hypnotic AND/OR anxiolytic-induced mood disorder (disorder)"
547,29733004,Opioid-induced mood disorder (disorder)
548,288851000119106,Opioid-induced mood disorder due to opioid abuse (disorder)
549,288861000119108,Opioid-induced mood disorder due to opioid dependence (disorder)
550,53936005,Alcohol-induced mood disorder (disorder)
551,37739004,Mood disorder due to a general medical condition (disorder)
552,22419002,Mood disorder with mixed features due to general medical condition (disorder)
553,28676002,Mood disorder with manic features due to general medical condition (disorder)
554,75837004,Mood disorder with depressive features due to general medical condition (disorder)
555,77486005,Mood disorder with major depressive-like episode due to general medical condition (disorder)
556,5510009,Organic delusional disorder (disorder)
557,32552001,Psychoactive substance-induced organic delusional disorder (disorder)
558,1973000,"Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions (disorder)"
559,21831000119109,Phencyclidine psychosis (disorder)
560,50722006,Phencyclidine delusional disorder (disorder)
561,286933003,Confusional state (disorder)
562,162702000,On examination - mentally confused (disorder)
563,44031002,Postseizure confusion (disorder)
564,3298001,Amnestic disorder (disorder)
565,69482004,Korsakoff's psychosis (disorder)
566,191471000,Korsakov's alcoholic psychosis with peripheral neuritis (disorder)
567,73097000,Alcohol amnestic disorder (disorder)
568,83168008,Psychoactive substance-induced organic amnestic disorder (disorder)
569,191494004,Drug-induced amnestic syndrome (disorder)
570,302507002,Sedative amnestic disorder (disorder)
571,17262008,Non-alcoholic Korsakoff's psychosis (disorder)
572,40673001,Post-encephalitic syndrome (disorder)
573,19972008,Postencephalitic parkinsonism (disorder)
574,52448006,Dementia (disorder)
575,278857002,Dementia of frontal lobe type (disorder)
576,51928006,General paresis - neurosyphilis (disorder)
577,82959004,Dementia paralytica juvenilis (disorder)
578,62239001,Parkinson-dementia complex of Guam (disorder)
579,90099008,Subcortical leukoencephalopathy (disorder)
580,9345005,Dialysis dementia (disorder)
581,191519005,Dementia associated with another disease (disorder)
582,230290000,Epileptic dementia (disorder)
583,82381000119103,Epileptic dementia with behavioral disturbance (disorder)
584,230282000,Post-traumatic dementia (disorder)
585,230283005,Punch drunk syndrome (disorder)
586,40425004,Postconcussion syndrome (disorder)
587,698687007,Post-traumatic dementia with behavioral change (disorder)
588,281004,Dementia associated with alcoholism (disorder)
589,429458009,Dementia due to Creutzfeldt Jakob disease (disorder)
590,421529006,Dementia associated with acquired immunodeficiency syndrome (disorder)
591,420614009,Organic dementia associated with acquired immunodeficiency syndrome (disorder)
592,421023003,Presenile dementia associated with acquired immunodeficiency syndrome (disorder)
593,442344002,Dementia due to Huntington chorea (disorder)
594,82361000119107,Altered behavior in dementia due to Huntington chorea (disorder)
595,425390006,Dementia associated with Parkinson's Disease (disorder)
596,101421000119107,Dementia due to Parkinson's disease (disorder)
597,130121000119104,Dementia due to Rett's syndrome (disorder)
598,142811000119104,Dementia due to Alzheimer's disease (disorder)
599,21921000119103,Dementia due to Pick's disease (disorder)
600,698624003,Dementia associated with cerebral lipidosis (disorder)
601,698625002,Dementia associated with normal pressure hydrocephalus (disorder)
602,698626001,Dementia associated with multiple sclerosis (disorder)
603,82371000119101,Dementia due to multiple sclerosis with altered behavior (disorder)
604,698725008,Dementia associated with neurosyphilis (disorder)
605,698726009,Dementia associated with viral encephalitis (disorder)
606,698781002,Dementia associated with cerebral anoxia (disorder)
607,429998004,Vascular dementia (disorder)
608,56267009,Multi-infarct dementia (disorder)
609,14070001,Multi-infarct dementia with depression (disorder)
610,25772007,Multi-infarct dementia with delusions (disorder)
611,70936005,"Multi-infarct dementia, uncomplicated (disorder)"
612,106021000119105,Multi-infarct dementia due to atherosclerosis (disorder)
613,230286002,Subcortical vascular dementia (disorder)
614,230287006,Mixed cortical and subcortical vascular dementia (disorder)
615,230285003,Vascular dementia of acute onset (disorder)
616,191464005,Arteriosclerotic dementia with delirium (disorder)
617,191463004,Uncomplicated arteriosclerotic dementia (disorder)
618,191466007,Arteriosclerotic dementia with depression (disorder)
619,191465006,Arteriosclerotic dementia with paranoia (disorder)
620,698948009,Vascular dementia in remission (disorder)
621,288631000119104,Vascular dementia with behavioral disturbance (disorder)
622,230289009,Patchy dementia (disorder)
623,230288001,Semantic dementia (disorder)
624,26929004,Alzheimer's disease (disorder)
625,230269008,Focal Alzheimer's disease (disorder)
626,230280008,Progressive aphasia in Alzheimer's disease (disorder)
627,416975007,"Primary degenerative dementia of the Alzheimer type, senile onset (disorder)"
628,26852004,"Primary degenerative dementia of the Alzheimer type, senile onset, with depression (disorder)"
629,4817008,"Primary degenerative dementia of the Alzheimer type, senile onset, with delirium (disorder)"
630,55009008,"Primary degenerative dementia of the Alzheimer type, senile onset, with delusions (disorder)"
631,66108005,"Primary degenerative dementia of the Alzheimer type, senile onset, uncomplicated (disorder)"
632,230267005,Familial Alzheimer's disease of late onset (disorder)
633,230268000,Non-familial Alzheimer's disease of late onset (disorder)
634,698954005,"Primary degenerative dementia of the Alzheimer type, senile onset in remission (disorder)"
635,416780008,"Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)"
636,10532003,"Primary degenerative dementia of the Alzheimer type, presenile onset, with depression (disorder)"
637,54502004,"Primary degenerative dementia of the Alzheimer type, presenile onset, with delusions (disorder)"
638,6475002,"Primary degenerative dementia of the Alzheimer type, presenile onset, uncomplicated (disorder)"
639,65096006,"Primary degenerative dementia of the Alzheimer type, presenile onset, with delirium (disorder)"
640,230265002,Familial Alzheimer's disease of early onset (disorder)
641,230266001,Non-familial Alzheimer's disease of early onset (disorder)
642,698955006,"Primary degenerative dementia of the Alzheimer type, presenile onset in remission (disorder)"
643,105421000119105,Early onset Alzheimer's disease with behavioral disturbance (disorder)
644,1581000119101,Dementia of the Alzheimer type with behavioral disturbance (disorder)
645,97751000119108,Altered behavior in Alzheimer's disease (disorder)
646,141991000119109,Delusions in Alzheimer's disease (disorder)
647,142001000119106,Depressed mood in Alzheimer's disease (disorder)
648,142011000119109,Alzheimer's disease co-occurrent with delirium (disorder)
649,191493005,Drug-induced dementia (disorder)
650,111480006,Psychoactive substance-induced organic dementia (disorder)
651,59651006,"Sedative, hypnotic AND/OR anxiolytic-induced persisting dementia (disorder)"
652,32875003,Inhalant-induced persisting dementia (disorder)
653,79341000119107,Mixed dementia (disorder)
654,22381000119105,Primary degenerative dementia (disorder)
655,1591000119103,Dementia with behavioral disturbance (disorder)
656,698949001,Dementia in remission (disorder)
657,713844000,Dementia co-occurrent with human immunodeficiency virus infection (disorder)
658,713488003,Presenile dementia co-occurrent with human immunodeficiency virus infection (disorder)
659,715737004,Parkinsonism co-occurrent with dementia of Guadeloupe (disorder)
660,268612007,Senile and presenile organic psychotic conditions (disorder)
661,12348006,Presenile dementia (disorder)
662,191451009,Uncomplicated presenile dementia (disorder)
663,191452002,Presenile dementia with delirium (disorder)
664,191454001,Presenile dementia with paranoia (disorder)
665,191455000,Presenile dementia with depression (disorder)
666,31081000119101,Presenile dementia with delusions (disorder)
667,15662003,Senile dementia (disorder)
668,191449005,Uncomplicated senile dementia (disorder)
669,191457008,Senile dementia with depressive or paranoid features (disorder)
670,191458003,Senile dementia with paranoia (disorder)
671,191459006,Senile dementia with depression (disorder)
672,191461002,Senile dementia with delirium (disorder)
673,312991009,Senile dementia of the Lewy body type (disorder)
674,371024007,Senile dementia with delusion (disorder)
675,371026009,Senile dementia with psychosis (disorder)
676,191447007,Organic psychotic condition (disorder)
677,191499009,Transient organic psychoses (disorder)
678,192072002,Organic memory impairment (disorder)
679,231448004,Age-associated memory impairment (disorder)
680,140621000119106,Memory disorder co-occurrent and due to organic brain damage (disorder)
681,36217008,Organic personality disorder (disorder)
682,231452004,Limbic epilepsy personality syndrome (disorder)
683,231453009,Lobotomy syndrome (disorder)
684,231456001,Postleucotomy syndrome (disorder)
685,46721000,Psychoactive substance-induced organic personality disorder (disorder)
686,231454003,Organic pseudopsychopathic personality (disorder)
687,231455002,Organic pseudoretarded personality (disorder)
688,129606007,Frontal lobe syndrome (disorder)
689,11387009,Psychoactive substance-induced organic mental disorder (disorder)
690,14784000,Opioid-induced organic mental disorder (disorder)
691,19445006,Opioid-induced psychotic disorder with hallucinations (disorder)
692,20385005,Opioid-induced psychotic disorder with delusions (disorder)
693,71328000,Opioid-induced sexual dysfunction (disorder)
694,87132004,Opioid withdrawal (disorder)
695,230443000,Narcotic withdrawal epilepsy (disorder)
696,52866005,Opioid intoxication delirium (disorder)
697,29212009,Alcohol-induced organic mental disorder (disorder)
698,41083005,Alcohol-induced sleep disorder (disorder)
699,42344001,Alcohol-induced psychosis (disorder)
700,191475009,Chronic alcoholic brain syndrome (disorder)
701,61144001,Alcohol-induced psychotic disorder with delusions (disorder)
702,79578000,Alcohol paranoia (disorder)
703,191477001,Pathological alcohol intoxication (disorder)
704,191478006,Alcoholic paranoia (disorder)
705,18653004,Alcohol intoxication delirium (disorder)
706,191480000,Alcohol withdrawal syndrome (disorder)
707,85561006,Uncomplicated alcohol withdrawal (disorder)
708,191476005,Alcohol withdrawal hallucinosis (disorder)
709,30310000,Nicotine-induced organic mental disorder (disorder)
710,90755006,Nicotine withdrawal (disorder)
711,33871004,Phencyclidine-induced psychotic disorder with hallucinations (disorder)
712,46975003,Cocaine-induced organic mental disorder (disorder)
713,27956007,Cocaine intoxication (disorder)
714,30491001,Cocaine delusional disorder (disorder)
715,6348008,Cocaine-induced psychotic disorder with hallucinations (disorder)
716,80868005,Cocaine withdrawal (disorder)
717,53050002,Hallucinogen-induced organic mental disorder (disorder)
718,30871003,Flashbacks (disorder)
719,417143004,Short duration flashbacks (disorder)
720,416073003,Long duration flashbacks (disorder)
721,416714005,Episodic flashbacks (disorder)
722,417360004,Duplicative flashbacks (disorder)
723,40571009,Hallucinogen intoxication delirium (disorder)
724,50320000,Hallucinogen intoxication (disorder)
725,50933003,Hallucinogen delusional disorder (disorder)
726,15277004,Hallucinogen-induced anxiety disorder (disorder)
727,74934004,Psychoactive substance-induced organic withdrawal (disorder)
728,77355000,Cannabis-induced organic mental disorder (disorder)
729,26714005,Cannabis-induced psychotic disorder with hallucinations (disorder)
730,39951001,Cannabis-induced anxiety disorder (disorder)
731,63649001,Cannabis delusional disorder (disorder)
732,83367009,Amphetamine-induced organic mental disorder (disorder)
733,32358001,Amphetamine delusional disorder (disorder)
734,43497001,Amphetamine-induced mood disorder (disorder)
735,70932007,Amphetamine-induced sexual dysfunction (disorder)
736,78358001,Amphetamine withdrawal (disorder)
737,51443000,Amphetamine-induced psychotic disorder with hallucinations (disorder)
738,309279000,Caffeine-induced organic mental disorder (disorder)
739,56194001,Caffeine-induced sleep disorder (disorder)
740,70655008,Caffeine-induced anxiety disorder (disorder)
741,95635002,Caffeine withdrawal (disorder)
742,312936002,Anxiolytic-induced organic mental disorder (disorder)
743,61104008,Inhalant-induced organic mental disorder (disorder)
744,20876004,Inhalant-induced anxiety disorder (disorder)
745,63983005,Inhalant-induced psychotic disorder with hallucinations (disorder)
746,75122001,Inhalant-induced psychotic disorder with delusions (disorder)
747,89451009,Inhalant-induced mood disorder (disorder)
748,18689007,Inhalant intoxication delirium (disorder)
749,288461000119105,Psychosis caused by inhalant (disorder)
750,21000000,Idiosyncratic intoxication (disorder)
751,420774007,Organic brain syndrome associated with acquired immunodeficiency syndrome (disorder)
752,425919003,Chronic organic mental disorder (disorder)
753,428703001,Transient organic mental disorder (disorder)
754,703041000,Dysexecutive syndrome (disorder)
755,713491003,Organic brain syndrome co-occurrent with human immunodeficiency virus infection (disorder)
756,268664001,Childhood emotional disorder (disorder)
757,192108001,Disturbance of anxiety and fearfulness in childhood and adolescence (disorder)
758,192110004,Childhood and adolescent fearfulness disturbance (disorder)
759,231539006,Adolescent - emotional problem (disorder)
760,268666004,Childhood and adolescent disturbance with sensitivity (disorder)
761,268667008,Childhood and adolescent disturbance with shyness (disorder)
762,268668003,Childhood and adolescent disturbance with introversion (disorder)
763,128293007,Chronic mental disorder (disorder)
764,14183003,"Chronic major depressive disorder, single episode (disorder)"
765,51637008,"Chronic bipolar I disorder, most recent episode depressed (disorder)"
766,83746006,Chronic schizophrenia (disorder)
767,12939007,Chronic disorganized schizophrenia (disorder)
768,35218008,Chronic disorganized schizophrenia with acute exacerbations (disorder)
769,29599000,Chronic undifferentiated schizophrenia (disorder)
770,79204003,Chronic undifferentiated schizophrenia with acute exacerbations (disorder)
771,31658008,Chronic paranoid schizophrenia (disorder)
772,191555002,Acute exacerbation of chronic paranoid schizophrenia (disorder)
773,68995007,Chronic catatonic schizophrenia (disorder)
774,191548004,Acute exacerbation of chronic catatonic schizophrenia (disorder)
775,71103003,Chronic residual schizophrenia (disorder)
776,30336007,Chronic residual schizophrenia with acute exacerbations (disorder)
777,191531007,Acute exacerbation of chronic schizophrenia (disorder)
778,191539009,Acute exacerbation of chronic hebephrenic schizophrenia (disorder)
779,40987004,Intermittent explosive disorder (disorder)
780,191564007,Acute exacerbation of chronic latent schizophrenia (disorder)
781,191572009,Acute exacerbation of chronic schizoaffective schizophrenia (disorder)
782,192080009,Chronic depression (disorder)
783,2618002,Chronic recurrent major depressive disorder (disorder)
784,191590005,Recurrent manic episodes (disorder)
785,191592002,"Recurrent manic episodes, mild (disorder)"
786,191593007,"Recurrent manic episodes, moderate (disorder)"
787,191595000,"Recurrent manic episodes, severe, with psychosis (disorder)"
788,191597008,"Recurrent manic episodes, in full remission (disorder)"
789,191616006,Recurrent depression (disorder)
790,40568001,Recurrent brief depressive disorder (disorder)
791,66344007,Recurrent major depression (disorder)
792,18818009,Moderate recurrent major depression (disorder)
793,38694004,Recurrent major depressive disorder with atypical features (disorder)
794,39809009,Recurrent major depressive disorder with catatonic features (disorder)
795,40379007,Mild recurrent major depression (disorder)
796,68019004,Recurrent major depression in remission (disorder)
797,33135002,Recurrent major depression in partial remission (disorder)
798,46244001,Recurrent major depression in full remission (disorder)
799,71336009,Recurrent major depressive disorder with postpartum onset (disorder)
800,319768000,Recurrent major depressive disorder with melancholic features (disorder)
801,268621008,Recurrent major depressive episodes (disorder)
802,191610000,"Recurrent major depressive episodes, mild (disorder)"
803,191611001,"Recurrent major depressive episodes, moderate (disorder)"
804,191613003,"Recurrent major depressive episodes, severe, with psychosis (disorder)"
805,191615005,"Recurrent major depressive episodes, in full remission (disorder)"
806,281000119103,Severe recurrent major depression (disorder)
807,28475009,Severe recurrent major depression with psychotic features (disorder)
808,15193003,"Severe recurrent major depression with psychotic features, mood-incongruent (disorder)"
809,33078009,"Severe recurrent major depression with psychotic features, mood-congruent (disorder)"
810,36474008,Severe recurrent major depression without psychotic features (disorder)
811,274948002,Endogenous depression - recurrent (disorder)
812,247803002,Seasonal affective disorder (disorder)
813,133121000119109,Severe seasonal affective disorder (disorder)
814,442057004,Chronic depressive personality disorder (disorder)
815,442245003,Chronic hypomanic personality disorder (disorder)
816,17226007,Adjustment disorder (disorder)
817,192054008,Culture shock (disorder)
818,271952001,Stress and adjustment reaction (disorder)
819,300979000,Carer stress syndrome (disorder)
820,162218007,Stress-related problem (disorder)
821,92501000119101,Stress reaction with psychomotor agitation (disorder)
822,15977008,Adjustment disorder with academic inhibition (disorder)
823,18478005,Adjustment disorder with physical complaints (disorder)
824,32880007,Adjustment disorder with work inhibition (disorder)
825,47372000,Adjustment disorder with anxious mood (disorder)
826,698693004,Adjustment disorder with anxious mood in remission (disorder)
827,55668003,Adjustment disorder with mixed emotional features (disorder)
828,57194009,Adjustment disorder with depressed mood (disorder)
829,192046006,Brief depressive adjustment reaction (disorder)
830,192049004,Prolonged depressive adjustment reaction (disorder)
831,698696007,Adjustment disorder with depressed mood in remission (disorder)
832,7397008,Aggressor identification syndrome (disorder)
833,84984002,Adjustment disorder with disturbance of conduct (disorder)
834,66381006,Adjustment disorder with mixed disturbance of emotions AND conduct (disorder)
835,698697003,Adjustment disorder with mixed disturbance of emotions and conduct in remission (disorder)
836,192056005,Adjustment reaction with aggression (disorder)
837,192057001,Adjustment reaction with antisocial behavior (disorder)
838,192058006,Adjustment reaction with destructiveness (disorder)
839,9674006,Adjustment disorder with withdrawal (disorder)
840,192061007,Concentration camp syndrome (disorder)
841,192063005,Adjustment reaction with physical symptoms (disorder)
842,192052007,Early adult emancipation disorder (disorder)
843,268658008,Specific academic or work inhibition (disorder)
844,275473003,Specific work inhibition (disorder)
845,192064004,Elective mutism due to an adjustment reaction (disorder)
846,192065003,Hospitalism (disorder)
847,386821008,Adjustment reaction in infancy (disorder)
848,386822001,Adjustment reaction of adolescence (disorder)
849,386823006,Adjustment reaction of adult life (disorder)
850,386824000,Adjustment reaction of childhood (disorder)
851,386825004,Adjustment reaction of late life (disorder)
852,192051000,Adolescent emancipation disorder (disorder)
853,425914008,Adjustment reaction to medical therapy (disorder)
854,698701000,Adjustment disorder in remission (disorder)
855,19480005,Axis V diagnosis (disorder)
856,89989005,Deferred diagnosis on Axis V (disorder)
857,24121004,Insomnia disorder related to another mental disorder (disorder)
858,33449004,Personality disorder (disorder)
859,191765005,Emotionally unstable personality disorder (disorder)
860,231527003,Explosive personality disorder (disorder)
861,192097003,Isolated explosive disorder (disorder)
862,20010003,Borderline personality disorder (disorder)
863,698700004,Borderline personality disorder in remission (disorder)
864,191772006,Eccentric personality disorder (disorder)
865,192527004,Elaboration of physical symptoms for psychological reasons (disorder)
866,231528008,Anxious personality disorder (disorder)
867,16805009,Cluster A personality disorder (disorder)
868,13601005,Paranoid personality disorder (disorder)
869,31027006,Schizotypal personality disorder (disorder)
870,191559008,Latent schizophrenia (disorder)
871,274952002,Borderline schizophrenia (disorder)
872,191561004,Subchronic latent schizophrenia (disorder)
873,191562006,Chronic latent schizophrenia (disorder)
874,191563001,Acute exacerbation of subchronic latent schizophrenia (disorder)
875,191565008,Latent schizophrenia in remission (disorder)
876,52954000,Schizoid personality disorder (disorder)
877,268633003,Introverted personality disorder (disorder)
878,4306003,Cluster B personality disorder (disorder)
879,26665006,Antisocial personality disorder (disorder)
880,698699000,Antisocial personality disorder in remission (disorder)
881,55341008,Histrionic personality disorder (disorder)
882,191766006,Psychoinfantile personality (disorder)
883,80711002,Narcissistic personality disorder (disorder)
884,44966003,Passive aggressive personality disorder (disorder)
885,83890006,Cluster C personality disorder (disorder)
886,1376001,Obsessive compulsive personality disorder (disorder)
887,473456000,Compulsive personality disorder (disorder)
888,473457009,Obsessional personality disorder (disorder)
889,37746008,Avoidant personality disorder (disorder)
890,698690001,Avoidant personality disorder in remission (disorder)
891,84466009,Dependent personality disorder (disorder)
892,191753006,Hypomanic personality disorder (disorder)
893,191773001,Immature personality disorder (disorder)
894,191774007,Masochistic personality disorder (disorder)
895,192073007,Change in personality (disorder)
896,231525006,Manipulative personality disorder (disorder)
897,231526007,Fanatic personality (disorder)
898,231530005,Post-concussional personality disorder (disorder)
899,268634009,Psychoneurotic personality disorder (disorder)
900,34485008,Axis IV diagnosis (disorder)
901,29657007,Deferred diagnosis on Axis IV (disorder)
902,46206005,Mood disorder (disorder)
903,13746004,Bipolar disorder (disorder)
904,191618007,"Bipolar affective disorder, current episode manic (disorder)"
905,1499003,"Bipolar I disorder, single manic episode with postpartum onset (disorder)"
906,17782008,"Bipolar I disorder, most recent episode manic with catatonic features (disorder)"
907,55516002,"Bipolar I disorder, most recent episode manic with postpartum onset (disorder)"
908,68569003,Manic bipolar I disorder (disorder)
909,45479006,Manic bipolar I disorder in remission (disorder)
910,30935000,Manic bipolar I disorder in full remission (disorder)
911,63249007,Manic bipolar I disorder in partial remission (disorder)
912,71984005,Mild manic bipolar I disorder (disorder)
913,41552001,"Mild bipolar I disorder, single manic episode (disorder)"
914,82998009,Moderate manic bipolar I disorder (disorder)
915,28884001,"Moderate bipolar I disorder, single manic episode (disorder)"
916,23741000119105,Severe manic bipolar I disorder (disorder)
917,162004,Severe manic bipolar I disorder without psychotic features (disorder)
918,28663008,Severe manic bipolar I disorder with psychotic features (disorder)
919,33380008,"Severe manic bipolar I disorder with psychotic features, mood-incongruent (disorder)"
920,78640000,"Severe manic bipolar I disorder with psychotic features, mood-congruent (disorder)"
921,78269000,"Bipolar I disorder, single manic episode, in partial remission (disorder)"
922,87950005,"Bipolar I disorder, single manic episode with catatonic features (disorder)"
923,191620005,"Bipolar affective disorder, currently manic, mild (disorder)"
924,191621009,"Bipolar affective disorder, currently manic, moderate (disorder)"
925,191623007,"Bipolar affective disorder, currently manic, severe, with psychosis (disorder)"
926,191625000,"Bipolar affective disorder, currently manic, in full remission (disorder)"
927,191627008,"Bipolar affective disorder, current episode depression (disorder)"
928,1196001,"Chronic bipolar II disorder, most recent episode major depressive (disorder)"
929,16295005,"Bipolar II disorder, most recent episode major depressive (disorder)"
930,22407005,"Bipolar II disorder, most recent episode major depressive with catatonic features (disorder)"
931,30687003,"Bipolar II disorder, most recent episode major depressive with postpartum onset (disorder)"
932,34315001,"Bipolar II disorder, most recent episode major depressive with melancholic features (disorder)"
933,43568002,"Bipolar II disorder, most recent episode major depressive with atypical features (disorder)"
934,49468007,Depressed bipolar I disorder (disorder)
935,53607008,Depressed bipolar I disorder in remission (disorder)
936,22121000,Depressed bipolar I disorder in full remission (disorder)
937,49512000,Depressed bipolar I disorder in partial remission (disorder)
938,66631006,Moderate depressed bipolar I disorder (disorder)
939,74686005,Mild depressed bipolar I disorder (disorder)
940,261000119107,Severe depressed bipolar I disorder (disorder)
941,59617007,Severe depressed bipolar I disorder with psychotic features (disorder)
942,26203008,"Severe depressed bipolar I disorder with psychotic features, mood-incongruent (disorder)"
943,54761006,"Severe depressed bipolar I disorder with psychotic features, mood-congruent (disorder)"
944,61403008,Severe depressed bipolar I disorder without psychotic features (disorder)
945,75752004,"Bipolar I disorder, most recent episode depressed with melancholic features (disorder)"
946,191629006,"Bipolar affective disorder, currently depressed, mild (disorder)"
947,191630001,"Bipolar affective disorder, currently depressed, moderate (disorder)"
948,191632009,"Bipolar affective disorder, currently depressed, severe, with psychosis (disorder)"
949,191634005,"Bipolar affective disorder, currently depressed, in full remission (disorder)"
950,13313007,Mild bipolar disorder (disorder)
951,43769008,Mild mixed bipolar I disorder (disorder)
952,38368003,"Schizoaffective disorder, bipolar type (disorder)"
953,79584002,Moderate bipolar disorder (disorder)
954,40926005,Moderate mixed bipolar I disorder (disorder)
955,35846004,"Moderate bipolar II disorder, most recent episode major depressive (disorder)"
956,83225003,Bipolar II disorder (disorder)
957,48937005,"Bipolar II disorder, most recent episode hypomanic (disorder)"
958,71294008,"Mild bipolar II disorder, most recent episode major depressive (disorder)"
959,12969000,"Severe bipolar II disorder, most recent episode major depressive, in full remission (disorder)"
960,35722002,"Severe bipolar II disorder, most recent episode major depressive, in remission (disorder)"
961,67002003,"Severe bipolar II disorder, most recent episode major depressive, in partial remission (disorder)"
962,61771000119106,"Bipolar II disorder, most recent episode rapid cycling (disorder)"
963,85248005,Bipolar disorder in remission (disorder)
964,35481005,Mixed bipolar I disorder in remission (disorder)
965,111485001,Mixed bipolar I disorder in full remission (disorder)
966,36583000,Mixed bipolar I disorder in partial remission (disorder)
967,41836007,Bipolar disorder in full remission (disorder)
968,5703000,Bipolar disorder in partial remission (disorder)
969,191636007,Mixed bipolar affective disorder (disorder)
970,16506000,Mixed bipolar I disorder (disorder)
971,192362008,"Bipolar affective disorder, current episode mixed (disorder)"
972,65042007,"Bipolar I disorder, most recent episode mixed with postpartum onset (disorder)"
973,73471000,"Bipolar I disorder, most recent episode mixed with catatonic features (disorder)"
974,191638008,"Mixed bipolar affective disorder, mild (disorder)"
975,191639000,"Mixed bipolar affective disorder, moderate (disorder)"
976,191641004,"Mixed bipolar affective disorder, severe, with psychosis (disorder)"
977,191643001,"Mixed bipolar affective disorder, in full remission (disorder)"
978,271000119101,Severe mixed bipolar I disorder (disorder)
979,10981006,Severe mixed bipolar I disorder with psychotic features (disorder)
980,10875004,"Severe mixed bipolar I disorder with psychotic features, mood-incongruent (disorder)"
981,64731001,"Severe mixed bipolar I disorder with psychotic features, mood-congruent (disorder)"
982,46229002,Severe mixed bipolar I disorder without psychotic features (disorder)
983,371596008,Bipolar I disorder (disorder)
984,21900002,"Bipolar I disorder, most recent episode depressed with catatonic features (disorder)"
985,29929003,"Bipolar I disorder, most recent episode depressed with atypical features (disorder)"
986,31446002,"Bipolar I disorder, most recent episode hypomanic (disorder)"
987,75360000,"Bipolar I disorder, single manic episode, in remission (disorder)"
988,3530005,"Bipolar I disorder, single manic episode, in full remission (disorder)"
989,87203005,"Bipolar I disorder, most recent episode depressed with postpartum onset (disorder)"
990,9340000,"Bipolar I disorder, single manic episode (disorder)"
991,133091000119105,Rapid cycling bipolar I disorder (disorder)
992,371600003,Severe bipolar disorder (disorder)
993,4441000,Severe bipolar disorder with psychotic features (disorder)
994,19300006,"Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent (disorder)"
995,20960007,"Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent (disorder)"
996,26530004,"Severe bipolar disorder with psychotic features, mood-incongruent (disorder)"
997,41832009,"Severe bipolar I disorder, single manic episode with psychotic features (disorder)"
998,13581000,"Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent (disorder)"
999,86058007,"Severe bipolar I disorder, single manic episode with psychotic features, mood-incongruent (disorder)"
1000,70546001,"Severe bipolar disorder with psychotic features, mood-congruent (disorder)"
1001,53049002,Severe bipolar disorder without psychotic features (disorder)
1002,14495005,"Severe bipolar I disorder, single manic episode without psychotic features (disorder)"
1003,81319007,"Severe bipolar II disorder, most recent episode major depressive without psychotic features (disorder)"
1004,371599001,Severe bipolar I disorder (disorder)
1005,371604007,Severe bipolar II disorder (disorder)
1006,30520009,"Severe bipolar II disorder, most recent episode major depressive with psychotic features (disorder)"
1007,26516009,Severe mood disorder with psychotic features (disorder)
1008,58647003,"Severe mood disorder with psychotic features, mood-congruent (disorder)"
1009,70043001,"Severe mood disorder with psychotic features, mood-incongruent (disorder)"
1010,28357009,Transitory postpartum mood disturbance (disorder)
1011,35489007,Depressive disorder (disorder)
1012,191659001,Atypical depressive disorder (disorder)
1013,42925002,"Major depressive disorder, single episode with atypical features (disorder)"
1014,231485007,Post-schizophrenic depression (disorder)
1015,231500002,Masked depression (disorder)
1016,300706003,Endogenous depression (disorder)
1017,321717001,Involutional depression (disorder)
1018,231499006,Endogenous depression first episode (disorder)
1019,268620009,Single major depressive episode (disorder)
1020,191601008,"Single major depressive episode, mild (disorder)"
1021,191602001,"Single major depressive episode, moderate (disorder)"
1022,191604000,"Single major depressive episode, severe, with psychosis (disorder)"
1023,191606003,"Single major depressive episode, in full remission (disorder)"
1024,357705009,Cotard's syndrome (disorder)
1025,48589009,Minor depressive disorder (disorder)
1026,596004,Premenstrual dysphoric disorder (disorder)
1027,426578000,Premenstrual dysphoric disorder in remission (disorder)
1028,58703003,Postpartum depression (disorder)
1029,237349002,Mild postnatal depression (disorder)
1030,237350002,Severe postnatal depression (disorder)
